Baþlýk;Genel;Ýþlemci;;Ýþletim Sistemi;Hafýza / Bellek;;;Ekran;;;;Fiziksel;;;;Kamera;;;;Baðlantý;;;;;;;;Batarya;;Diðer;;
;Üretici;Model;Hýz;;RAM;Dahili Hafýza;Micro SD;Açýklama;Çözünürlük;Ekran Boyutu;Özellikler;Boyutlar (UxGxD);Aðýrlýk;Renkler;Suya Dayanýklýlýk;Açýklama;Megapixel;Özellikler;Ön Kamera Megapixel;Wifi;Bluetooth;GPS;Baðlantý Türü;Micro USB;SÝMBoyutu;SIM Sayýsý;3G Görüntülü Konuþma;Lityum Ýon;Deðiþtirebilir;SAR;Parmak Ýzi Okuyucu;Radyo
Apple iPhone 7 (Unlocked) [A1660];Apple; Apple A10;2.4 GHz;iOS;2.0 GB;32 GB, 128 GB, 256 GB;;IPS Retina HD display | 326 ppi | Ion-strengthened glass, oleophobic coating;1334 x 750 pixels;4.70 inches;;138.30 x 67.10 x 7.10 mm ;138.00 grams ;Black, Gold, Jet Black, Rose Gold, Silver;Yok;Rear: 12 MP - ƒ/1.8 aperture - Optical image stabilization - Quad-LED True Tone flash - 5x Digital Zoom | Front: 7 MP - ƒ/2.2 aperture;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;1960 mAh;Hayýr;;Var;Yok
Apple iPhone 7 Plus GSM[A1784];Apple; Apple A10;2.4 GHz;iOS;2.0 GB;32 GB, 128 GB, 256 GB;;IPS Retina HD display | 326 ppi | Ion-strengthened glass, oleophobic coating;1334 x 750 pixels;4.70 inches;;138.30 x 67.10 x 7.10 mm ;188.00 grams ;Black, Gold, Jet Black, Rose Gold, Silver;Yok;Rear: 12 MP - ƒ/1.8 aperture - Optical image stabilization - Quad-LED True Tone flash - 5x Digital Zoom | Front: 7 MP - ƒ/2.2 aperture;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;2900 mAh;Hayýr;;Var;Yok
Samsung Galaxy S7 (Unlocked) [G930F];Samsung;Exynos 7420;2.3 GHz;Android;4.0 GB;32 GB, 64 GB ;128.0 GB max + MicroSD 2.0 compatible;Quad HD Super AMOLED | Gorilla Glass 5 | 577 ppi;2560 x 1440 pixels;5.10 inches;;142.40 x 69.60 x 7.90 mm ;152.00 grams ;Black, Gold, White, Rose Gold, Silver;Var;Rear: 12 MP, f/1.7, phase detection autofocus, OIS, LED flash | Front: 5 MP, f/1.7, dual video call, Auto HDR;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Yok;3000 mAh;Evet;;Var;Var
Samsung Galaxy S5 [SM-G900W8];Samsung;Exynos 7420;2.5 GHz;Android;2.0 GB;16 GB, 32 GB ;128.0 GB max + MicroSD 2.0 compatible;Super AMOLED capacitive touchscreen, 16M colors;1080 x 1920 pixels;5.10 inches;;142.00 x 72.50 x 8.10 mm ;145.00 grams ;Black, Blue, Gold, White;Var;;16.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Yok;2800 mAh;Evet;;Var;Var
Samsung Galaxy S7 Edge[SM-G935F];Samsung;Exynos 7420;2.3 GHz;Android;4.0 GB;32 GB, 64 GB ;128.0 GB max + MicroSD 2.0 compatible;Gorilla Glass 5 | 534 ppi;2560 x 1440 pixels;5.10 inches;;142.40 x 69.60 x 7.90 mm ;152.00 grams ;Black, Gold, White, Rose Gold, Silver;Var;Rear: 12 MP, f/1.7, phase detection autofocus, OIS, LED flash | Front: 5 MP, f/1.7, dual video call, Auto HDR;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Yok;3000 mAh;Evet;;Var;Var
Samsung Galaxy S4 International  [GT-i9500];Samsung;Exynos 5410;1.6 GHz;Android;2.0 GB;16 GB, 32 GB,64GB;64.0 GB max + MicroSD 2.0 compatible;;1080 x 1920 pixels;5.00 inches;;136.60 x 69.80 x 7.90 mm ;130.00 grams ;Black,White;Yok;;13.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Micro;1;Yok;2600 mAh;Evet;;Var;Var
Samsung Galaxy Note 5;Samsung;Exynos 7420;2.1 GHz;Android;4.0 GB;32 GB, 64 GB ;128.0 GB max + MicroSD 2.0 compatible;Super AMOLED capacitive touchscreen, 16M colors;2560 x 1440 pixels;5.70 inches;;153.50 x 78.60 x 8.50 mm ;176.00 grams ;Black, Blue, Gold, White,Green,Red;Var;;16.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;nano;1;Yok;3000 mAh;Evet;;Var;Var
Samsung Galaxy Note 4;Samsung;Exynos 5433;2.7 GHz;Android;3.0 GB;16 GB, 32 GB ;128.0 GB max + MicroSD 2.0 compatible;Super AMOLED capacitive touchscreen, 16M colors;1440 x 2560 pixels;5.70 inches;;153.50 x 78.60 x 8.50 mm ;176.00 grams ;Black,White;Var;16 MP, 3456 x 4608 pixels, optical image stabilization, autofocus, LED flash;16.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;nano;1;Yok;3000 mAh;Evet;;Var;Var
Samsung Galaxy S3;Samsung;Exynos 4 Quad 4412;1.5 GHz;Android;2.0 GB;16 GB, 32 GB,64GB;64.0 GB max + MicroSD 2.0 compatible;4.8 in (120 mm) HD SUPER AMOLED with 1280×720 pixels;1280 x 720 pixels;4.80 inches;;136.60 x 70.70 x 8.60 mm ;133.00 grams ;Blue, Red, Gray, White;Yok;;13.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Micro;1;Yok;2100 mAh;Evet;;Yok;Var
Samsung Galaxy Note 3;Samsung;Exynos 5 Octa 5420;2.3 GHz;Android;3.0 GB;32 GB;64.0 GB max + MicroSD 2.0 compatible;;1080 x 1920 pixels;5.70 inches;;151.20 x 79.20 x 8.30 mm ;168.00 grams ;Black,White, Gold;Yok;;13.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;3G;Var;Micro;1;Yok;3200 mAh;Evet;;Yok;Var
